Source,Target,Detail
Scarlet Witch,Darkhold,
Agatha Harkness,Darkhold,
Superior,Darkhold,
Eli Morrow,Darkhold,
Morgan le Fay,Darkhold,
Abraham Erskine,Super Soldier Serum,
Wilfred Nagel,Super Soldier Serum,Recreated
Arnim Zola,Super Soldier Serum,Recreated
Red Skull,Super Soldier Serum,
Steve Rogers,Super Soldier Serum,
Winter Soldier,Super Soldier Serum,
Isaiah Bradley,Super Soldier Serum,
Red Guardian,Super Soldier Serum,
Karli Morgenthau,Super Soldier Serum,
Dovich,Super Soldier Serum,
U.S. Agent,Super Soldier Serum,
Centipede Serum,Super Soldier Serum,Recreation Attempt
John Garrett,Centipede Serum,
Raina,Centipede Serum,
Deathlok,Centipede Serum,
Scorch,Centipede Serum,
Quake,Centipede Serum,
Enoch,Di'Allas,
Izel,Di'Allas,
Sarge,Di'Allas,
Phil Coulson,Di'Allas,
Melinda May,Di'Allas,
Jemma Simmons,Di'Allas,
Quake,Di'Allas,
Alphonso Mackenzie,Di'Allas,
Yo-Yo Rodriguez,Di'Allas,
Leo Fitz,Di'Allas,
Deke Shaw,Di'Allas,
Flint,Di'Allas,
Grant Ward,Kree Monolith,
Jemma Simmons,Kree Monolith,
Leo Fitz,Kree Monolith,
Phil Coulson,Kree Monolith,
Hive,Kree Monolith,
Gideon Malick,Kree Monolith,
Nathaniel Malick,Kree Monolith,
Kasius,Odium,
Tye,Odium,
Thor,Mjolnir,
Steve Rogers,Mjolnir,
Vision,Mjolnir,
Odin,Mjolnir,
Thor,Stormbreaker,
Eitri,Stormbreaker,
Groot,Stormbreaker,
Phil Coulson,GH.325,
Quake,GH.325,
John Garrett,GH.325,
Daniel Whitehall,Diviner,
Glenn Talbot,Diviner,
Isabelle Hartley,Diviner,
Calvin Zabo,Diviner,
Raina,Diviner,
Carl Creel,Diviner,
Jiaying,Diviner,
Iron Man,E.D.I.T.H.,
Spider-Man,E.D.I.T.H.,
Mysterio,E.D.I.T.H.,
Nick Fury,E.D.I.T.H.,
Talos,E.D.I.T.H.,
Hela,Eternal Flame,
Surtur,Eternal Flame,
Laufey,Casket of Ancient Winters,
Odin,Casket of Ancient Winters,
Loki,Casket of Ancient Winters,
Hela,Casket of Ancient Winters,
Elliot Randolph,Berserker Staff,
Melinda May,Berserker Staff,
Grant Ward,Berserker Staff,
Jakob Nystrom,Berserker Staff,
Petra Larsen,Berserker Staff,
Bor,Gungnir,
Odin,Gungnir,
Loki,Gungnir,
Thor,Gungnir,
Hela,Gungnir,
Trish Walker,Raft,
Baron Zemo,Raft,
Diamondback,Raft,
Scarlet Witch,Raft,
Ant-Man,Raft,
Clint Barton,Raft,
Sam Wilson,Raft,
Hellfire,Kree Orb,
Jiaying,Kree Orb,
Lincoln Campbell,Kree Orb,
Quake,Kree Orb,
Hive,Kree Orb,
Hale,Kree Orb,
Steve Rogers,Captain America's Shield,
Sam Wilson,Captain America's Shield,
Howard Stark,Captain America's Shield,
Iron Man,Captain America's Shield,
Phil Coulson,Spirit of Vengeance,
Ghost Rider,Spirit of Vengeance,
Alphonso Mackenzie,Spirit of Vengeance,
Phil Coulson,Peruvian 0-8-4,
Grant Ward,Peruvian 0-8-4,
John Garrett,Peruvian 0-8-4,
Camilla Reyes,Peruvian 0-8-4,
Vulture,Chitauri Gun,OFF
Benjamin Pollack,Chitauri Gun,
Claire Wise,Chitauri Gun,
Jasper Sitwell,Chitauri Gun,
Skurge,Chitauri Gun,
Grant Ward,Fridge,
John Garrett,Fridge,
Man-Thing,Fridge,
Blackout,Fridge,
Ian Quinn,Fridge,
Gravitonium,Fridge,
Berserker Staff,Fridge,
Peruvian 0-8-4,Fridge,
Loki,Asgardian Dungeons,
Lorelei,Asgardian Dungeons,
Kurse,Asgardian Dungeons,
Joseph Bauer,Darkhold,
Blackout,Darkforce,
Cloak,Darkforce,
Androvich,Darkforce,
Darkhold,Darkforce,
Justin Hammer,Judas Bullet,
Diamondback,Judas Bullet,
Yuri Zaikin,Judas Bullet,
Justin Hammer,Seagate Penitentiary,
Albert Rackham,Seagate Penitentiary,
Noah Burstein,Seagate Penitentiary,
Reva Connors,Seagate Penitentiary,
Luke Cage,Seagate Penitentiary,
Shades,Seagate Penitentiary,
Trevor Slattery,Seagate Penitentiary,
Comanche,Seagate Penitentiary,
Will Simpson,Combat Enhancer,
Trish Walker,Combat Enhancer,
Malcolm Ducasse,Combat Enhancer,
Miklos Kozlov,Combat Enhancer,
Marcus Scarlotti,Splinter Bomb,
Jemma Simmons,Splinter Bomb,
Alphonso Mackenzie,Splinter Bomb,
Yo-Yo Rodriguez,Splinter Bomb,
Howard Stark,Nitramene,
Felix Blake,Nitramene,
Peggy Carter,Nitramene,
Black Panther,Heart-Shaped Herb,
Killmonger,Heart-Shaped Herb,
T'Chaka,Heart-Shaped Herb,
Odin,Valkyrie,
Lorelei,Dogs of Hell,
Madame Gao,Dogs of Hell,
Ray Schoonover,Dogs of Hell,
Thanos,Sakaarans,
Ronan the Accuser,Sakaarans,
Grandmaster,Sakaarans,
Thanos,Outriders,
Loki,Chitauri,
Thanos,Chitauri,
Chitauri,Chitauri Gun,
Proxima Midnight,Outriders,
Ebony Maw,Chitauri,
The Other,Chitauri,
Leo Fitz,Destroyer Armor Prototype Gun,
Phil Coulson,Destroyer Armor Prototype Gun,
Destroyer,Destroyer Armor Prototype Gun,
Hulk,Super Soldier Serum,
Madame Gao,Steel Serpent,
Ward Meachum,Steel Serpent,Used
Radovan Bernivig,Steel Serpent,
Vladimir Ranskahov,Steel Serpent,Distribution
Anatoly Ranskahov,Steel Serpent,Distribution
Harold Meachum,Steel Serpent,
Dogs of Hell,Steel Serpent,Delivery
Cockroach Hamilton,Seagate Penitentiary,
Justin Hammer,Josh,
Cockroach Hamilton,Josh,
Comanche,Josh,
Kingpin,Ryker's Island,
Turk Barrett,Ryker's Island,
Dutton,Ryker's Island,
Punisher,Ryker's Island,
Mariah Dillard,Ryker's Island,
Jasper Evans,Ryker's Island,
Vic Jusufi,Ryker's Island,
Adina Johnson,Roxxon Corporation,
Nathan Bowen,Roxxon Corporation,
Hirochi,Roxxon Corporation,
Stan Gibson,Roxxon Corporation,
Norco,Roxxon Corporation,
Aldrich Killian,Norco,
Matthew Ellis,Norco,
Matthew Ellis,Roxxon Corporation,
Roxxon Power Plant,Roxxon Corporation,
Lucy Bauer,Roxxon Power Plant,
Eli Morrow,Roxxon Power Plant,
Roxxon Corporation,Roxxon Gas Station,
Phil Coulson,Roxxon Gas Station,
Hannah Hutchins,Roxxon Gas Station,
StatiCorp,Roxxon Corporation,
Hannah Hutchins,StatiCorp,
Tobias Ford,StatiCorp,
Peter Scarborough,Roxxon Corporation,
Ghost Rider,Roxxon Gas Station,
Ivan Hess,Roxxon Corporation,
Mina Hess,Roxxon Corporation,
Ulysses Klaue,Vibranium,
Black Panther,Vibranium,
Killmonger,Vibranium,
Captain America's Shield,Vibranium,
Toolbox,Vibranium,
Nick Fury,Toolbox,
Phil Coulson,Toolbox,
Malachi,Toolbox,
Robert Gonzales,Toolbox,
Vision,Vibranium,
Ultron,Vibranium,
Shuri,Vibranium,Vibranium Gauntlets
Winter Soldier,Vibranium,Vibranium Arm
Sam Wilson,Vibranium,New Suit
Darkforce,Lightforce,
Roxxon Corporation,Lightforce,
Dagger,Lightforce,
Roxxon Corporation,Darkforce,
Scorch,Index,
Carl Creel,Index,
Deathlok,Index,
Blizzard,Index,
David Angar,Index,
Francis Noche,Index,
Karla Faye Gideon,Index,
Wendell Levi,Index,
Calvin Zabo,Index,
Raina,Index,
Quake,Index,
Lincoln Campbell,Index,
Eva Belyakov,Index,
Thomas Nash,Index,
Inhuman Outbreak,Terrigen Mist,
Diviner,Terrigen Mist,
Joey Gutierrez,Inhuman Outbreak,
Giyera,Inhuman Outbreak,
Quake,Terrigen Mist,
Raina,Terrigen Mist,
Alisha Whitley,Terrigen Mist,
Gordon,Terrigen Mist,
Lincoln Campbell,Terrigen Mist,
Hellfire,Terrigen Mist,
Jiaying,Terrigen Mist,
Eva Belyakov,Terrigen Mist,
Katya Belyakov,Terrigen Mist,
Kora,Terrigen Mist,
Li,Terrigen Mist,
Lash,Terrigen Mist,
Yo-Yo Rodriguez,Inhuman Outbreak,
Lucio,Inhuman Outbreak,
Charles Hinton,Inhuman Outbreak,
Vijay Nadeer,Inhuman Outbreak,
Tucker Shockley,Terrigen Mist,
Androvich,Inhuman Outbreak,
Robin Hinton,Inhuman Outbreak,
Abby,Terrigen Mist,
Ben,Terrigen Mist,
Flint,Terrigen Mist,
Vin-Tak,Diviner,
Supreme Intelligence,Kree Empire,
Ronan the Accuser,Kree Empire,
Korath the Pursuer,Kree Empire,
Yon-Rogg,Kree Empire,
Minn-Erva,Kree Empire,
Att-Lass,Kree Empire,
Bron-Char,Kree Empire,
Taryan,Kree Empire,
Kasius,Kree Empire,
Sinara,Kree Empire,
Faulnak,Kree Empire,
Vin-Tak,Kree Empire,
Captain Marvel,Kree Empire,
Maston-Dar,Kree Empire,
Dormammu,Dark Dimension,
Spirit of Vengeance,Dark Dimension,
Morgan le Fay,Dark Dimension,
Darkforce,Dark Dimension,
Celestials,Knowhere,
Ego,Celestials,
Eson the Searcher,Celestials,
Star-Lord,Celestials,
Collector,Knowhere,
Carina,Knowhere,
Howard the Duck,Knowhere,
Irani Rael,Power Stone,
Yaka Arrow,Yondu Udonta,
Yaka Arrow,Kraglin Obfonteri,
Vistacorp,WHiH World News,
Christine Everhart,WHiH World News,
Ant-Man,Vistacorp,
Claire Temple,Metro-General Hospital,
Doctor Strange,Metro-General Hospital,
Christine Palmer,Metro-General Hospital,
Krista Dumont,Metro-General Hospital,
Nicodemus West,Metro-General Hospital,
Tinkerer,Shocker's Gauntlet,
Crossbones,Shocker's Gauntlet,OFF
Herman Schultz,Shocker's Gauntlet,
Jackson Brice,Shocker's Gauntlet,
Ultron,Ultron Blaster Gun,OFF
Tinkerer,Ultron Blaster Gun,
Jackson Brice,Ultron Blaster Gun,
Vulture,Shocker's Gauntlet,
Vulture,Ultron Blaster Gun,
Kree Empire,GH.325,
Iron Man,Damage Control,
Vulture,Damage Control,
Nick Fury,Damage Control,
Papa Legba,Dark Dimension,
Papa Legba,Roxxon Gas Station,
Samedi,Dark Dimension,
Andre Deschaine,Dark Dimension,
Andre Deschaine,Darkforce,
Andre Deschaine,Lightforce,
Hulk,Culver University,
Erik Selvig,Culver University,
Betty Ross,Culver University,
Lash,Culver University,
Marcus Benson,Culver University,
Leonard Samson,Culver University,
Jane Foster,Culver University,
Darcy Lewis,Culver University,
Roger Harrington,Culver University,
Werner von Strucker,Culver University,
Mayhem,Darkforce,
Mayhem,Lightforce,
Victor Stein,Culver University,
Janet Stein,Culver University,
Gideon Malick,O'Harren's Scotch Whisky,"Strucker's Vault, shared with Grant Ward"
Ernest Koenig,O'Harren's Scotch Whisky,Brought Phil Coulson to Koenig's bar
Jack Murdock,O'Harren's Scotch Whisky,Gave to young Matt
Punisher,O'Harren's Scotch Whisky,Medical treatment by Curtis Hoyle/for bullet wound in his hip
Francis Xavier Delgado,O'Harren's Scotch Whisky,Addict
Melissa Bowen,O'Harren's Scotch Whisky,Addict
Nathan Bowen,O'Harren's Scotch Whisky,"Used to drink, mentioned by Tandy Bowen"
Jack Thompson,O'Harren's Scotch Whisky,Gave to Frank in exchange for information
Magistrate,Abstract,
Janet Stein,Abstract,
Victor Stein,Abstract,
Alex Wilder,Abstract,
Chase Stein,Abstract,
Aldrich Killian,Extremis,
Eric Savin,Extremis,
Ellen Brandt,Extremis,
Maya Hansen,Extremis,
Pepper Potts,Extremis,
Leet Brannis,Nitramene,
Miles Van Ert,Nitramene,
Miles Van Ert,Roxxon Corporation,
Roxxon Corporation,Isodyne Energy,
Calvin Chadwick,Isodyne Energy,
Jason Wilkes,Isodyne Energy,
Whitney Frost,Isodyne Energy,
Jason Wilkes,Darkforce,
Whitney Frost,Darkforce,
Anne Weaver,Sci-Tech,
Franklin Hall,Sci-Tech,
Blizzard,Sci-Tech,
Jemma Simmons,Sci-Tech,
Leo Fitz,Sci-Tech,
Alphonso Mackenzie,Sci-Tech,
Hugh Jones,Roxxon Corporation,
Quinton the Great,Dark Dimension,
Dreykov,Red Room,
Yelena Belova,Red Room,
Melina Vostokoff,Red Room,
Black Widow,Red Room,
Dottie Underwood,Red Room,
Taskmaster,Red Room,
Black Bolt,Terrigen Mist,
Medusa,Terrigen Mist,
Crystal,Terrigen Mist,
Karnak,Terrigen Mist,
Gorgon,Terrigen Mist,
Triton,Terrigen Mist,
Lockjaw,Terrigen Mist,
Auran,Terrigen Mist,
Bronaja,Terrigen Mist,
Iridia,Terrigen Mist,
Mordis,Terrigen Mist,
Flora,Terrigen Mist,
Sakas,Terrigen Mist,
Sammy,Terrigen Mist,
Locus,Terrigen Mist,
Tibor,Terrigen Mist,
Loyolis,Terrigen Mist,
Eldrac,Terrigen Mist,
Roxxcart,Roxxon Corporation,
Roxxcart,Sylvie,
Daimon Helstrom,O'Harren's Scotch Whisky,
